metabolite	class_i	class_ii	formula	q1_mz	molecular_weight	adduct	identification_level	cas	pubchem_cid	hmdb	chebi	metlin	kegg_compound	kegg_map
2-Methyllactic acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C4H8O3	103.04	104.1	[M-H]-	1a	594-61-6	11671				C21297	
(R)-2-Hydroxybutyric acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C4H8O3	103.04	104.1	[M-H]-	1a	20016-85-7	449265				C05984	ko00640
2-Methylhexanoic acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C7H14O2	129.09	130.09938	[M-H]-	1b	4536-23-6	20653	HMDB0031594				
2,2-Dimethylpentanoic acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C7H14O2	129.09	130.09938	[M-H]-	1b	1185-39-3	14455					
4-Methylhexanoic acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C7H14O2	129.09	130.09938	[M-H]-	1b	1561-11-1	15271					
2-amino-4-oxovaleric acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C5H9NO3	130.05	131.05823	[M-H]-	1a	4439-83-2	11029881				C03341	ko00470,ko01100
N-Acetyl-L-alanine	Amino acid and Its metabolites	Amino acid derivatives	C5H9NO3	130.05	131.0582	[M-H]-	1a	97-69-8	88064	HMDB0000766	40992	5733	C01073	ko00410
N-acetyl-beta-alanine	Amino acid and Its metabolites	Amino acid derivatives	C5H9NO3	130.05	131.0582432	[M-H]-	1a	3025-95-4	76406	HMDB0061880	16682		C01073	ko00410
Xylose	Carbohydrates and Its metabolites	Sugars	C5H10O5	149.05	150.053	[M-H]-	1b	58-86-6	135191	HMDB0000098	53455	314	C00181	ko00040,ko00520,ko01100,ko02010
L-lyxose	Carbohydrates and Its metabolites	Carboxylic acids and derivatives	C5H10O5	149.05	150.13	[M-H]-	1b	1949-78-6	644176				C01508	ko00040
Arabinose	Carbohydrates and Its metabolites	Sugars	C5H10O5	149.05	150.053	[M-H]-	1b	147-81-9	66308	HMDB0029942	46983		C00259	ko00040,ko00053,ko00520,ko01100,ko01250,ko02010
3-Amino-4-Hydroxybenzoic Acid	Benzene and substituted derivatives	Phenolic acids	C7H7NO3	152.04	153.042594	[M-H]-	1b	1571-72-8	65083				C12115	ko01100
3-Amino-5-hydroxybenzoic acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C7H7NO3	152.04	153.042594	[M-H]-	1b	76045-71-1	127115				C12107	
3-Hydroxyanthranilic Acid	Benzene and substituted derivatives	Phenolic acids	C7H7NO3	152.04	153.043	[M-H]-	1b	548-93-6	86	HMDB0001476	15793	3275	C00632	ko00380,ko01100,ko01240
Protocatechuic Acid	Benzene and substituted derivatives	Phenolics	C7H6O4	153.02	154.027	[M-H]-	1b	99-50-3	72	HMDB0001856	36062	6350	C00230	ko00400,ko01100
2,5-Dihydroxybenzoic acid	Benzene and substituted derivatives	Phenolic acids	C7H6O4	153.02	154.027	[M-H]-	1b	490-79-9	3469	HMDB0000152	17189	618	C00628	ko00350,ko01100
2,3-Dihydroxybenzoic acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C7H6O4	153.02	154.0266087	[M-H]-	1b	303-38-8	19	HMDB0000397	18026	5386	C00196	
3,5-Dihydroxybenzoic acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C7H6O4	153.02	154.02661	[M-H]-	1b	99-10-5	7424	HMDB0013677	39912		C00230	ko00400,ko01100
4-hydroxyphenylglyoxylate	Benzene and substituted derivatives	Phenolic acids	C8H6O4	165.02	166.02659	[M-H]-	3	15573-67-8	355				C03590	ko01100
Phthalic Acid	Benzene and substituted derivatives	Phenolic acids	C8H6O4	165.02	166.027	[M-H]-	3	88-99-3	1017	HMDB0002107	29069	6489	C01606	ko01100,ko02010
Pyridine-3,4-dicarboxylic acid	Heterocyclic compounds	Pyridine and pyridine derivatives	C7H5NO4	166.01	167.021859	[M-H]-	1b	490-11-9	10273				C03722	ko00380,ko00410,ko00760,ko01100,ko01240
2,4-Pyridinedicarboxylic acid	Heterocyclic compounds	Pyridine and pyridine derivatives	C7H5NO4	166.01	167.021859	[M-H]-	1b	499-80-9	10365					
2-Methylhippuric acid	Organic acid and Its derivatives	Organic acid and Its derivatives	C10H11NO3	192.07	193.073898	[M-H]-	1b	42013-20-7	91637	HMDB0011723	68455		C01586	
N-Phenylacetylglycine	Amino acid and Its metabolites	Amino acid derivatives	C10H11NO3	192.07	193.074	[M-H]-	1b	500-98-1	68144	HMDB0000821	27480	4237	C05598	ko00360
4-tert-Octylphenol	Benzene and substituted derivatives	Phenolics	C14H22O	205.16	206.1671	[M-H]-	1a	140-66-9	8814	HMDB0013825			C14205	
2,4-Di-tert-butylphenol	Benzene and substituted derivatives	Phenolics	C14H22O	205.16	206.1671	[M-H]-	1a	96-76-4	7311	HMDB0013816	89188			
Phenylhydroxylamine	Benzene and substituted derivatives	Benzene and substituted derivatives	C6H7NO	110.06	109.052764	[M+H]+	1b	100-65-2	7518				C02720	
4-Aminophenol	Benzene and substituted derivatives	Phenolics	C6H7NO	110.06	109.0527639	[M+H]+	1b	123-30-8	403	HMDB0001169	17602	6051	C02372	
L-Valine	Amino acid and Its metabolites	Amino acids	C5H11NO2	118.09	117.079	[M+H]+	1a	72-18-4	6287	HMDB0000883	16414	5842	C00183	ko00280,ko00290,ko00770,ko00970,ko01100,ko01210,ko01230,ko01240,ko02010,ko04974,ko04978,ko05230
L-Norvaline	Amino acid and Its metabolites	Amino acids	C5H11NO2	118.09	117.078979	[M+H]+	1a	6600-40-4	65098				C01826	
1-Hydroxylamino-2-phenylethane	Benzene and substituted derivatives	Benzene and substituted derivatives	C8H11NO	120.08	137.0	[M-H2O+H]+	2	3217-93-4	165091					
(R)-(-)-2-Phenylglycinol	Amino acid and Its metabolites	Amino acid derivatives	C8H11NO	120.08	137.084064	[M-H2O+H]+	2	56613-80-0	2724025					
L-Norleucine	Amino acid and Its metabolites	Amino acids	C6H13NO2	132.1	131.0946	[M+H]+	1b	327-57-1	21236	HMDB0001645	18347	6334	C01933	
6-Aminocaproic Acid	Amino acid and Its metabolites	Amino acid derivatives	C6H13NO2	132.1	131.095	[M+H]+	1b	60-32-2	564	HMDB0001901	16586		C02378	ko01100
Mannose	Carbohydrates and Its metabolites	Sugars	C6H12O6	181.07	180.063	[M+H]+	1a	3458-28-4	18950	HMDB0000169	4208		C00159	ko00051,ko00052,ko00520,ko01100,ko01250,ko02010,ko04142,ko04625
Fructose	Carbohydrates and Its metabolites	Sugars	C6H12O6	181.07	180.063	[M+H]+	1a	57-48-7	5984	HMDB0062538	48095		C10906	
Gly-Glu	Amino acid and Its metabolites	Small Peptide	C7H12N2O5	205.08	204.07407	[M+H]+	1a	7412-78-4	99278				C00107	ko02010
Glu-Gly	Amino acid and Its metabolites	Small Peptide	C7H12N2O5	205.08	204.07	[M+H]+	1a	1948-29-4	6427052	HMDB0028819	73505		C00107	ko02010
Val-Leu	Amino acid and Its metabolites	Small Peptide	C11H22N2O3	231.17	230.163043	[M+H]+	1b	3989-97-7	6993118	HMDB0029131			C00107	ko02010
