Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Guard column]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
CRKP1	Extraction	MeOH/H2O(80:20,V:V)		Con1	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con1		Data transformation	CRKP1	FILES/DERIVED_FILES/Con1_P.mzML	Metabolite identification	CRKP1	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP10	Extraction	MeOH/H2O(80:20,V:V)		Con2	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con2		Data transformation	CRKP10	FILES/DERIVED_FILES/Con2_P.mzML	Metabolite identification	CRKP10	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP11	Extraction	MeOH/H2O(80:20,V:V)		Con3	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con3		Data transformation	CRKP11	FILES/DERIVED_FILES/Con3_P.mzML	Metabolite identification	CRKP11	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP12	Extraction	MeOH/H2O(80:20,V:V)		Con4	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con4		Data transformation	CRKP12	FILES/DERIVED_FILES/Con4_P.mzML	Metabolite identification	CRKP12	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP13	Extraction	MeOH/H2O(80:20,V:V)		Con5	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con5		Data transformation	CRKP13	FILES/DERIVED_FILES/Con5_P.mzML	Metabolite identification	CRKP13	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP14	Extraction	MeOH/H2O(80:20,V:V)		Con6	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con6		Data transformation	CRKP14	FILES/DERIVED_FILES/Con6_P.mzML	Metabolite identification	CRKP14	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP15	Extraction	MeOH/H2O(80:20,V:V)		Con7	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con7		Data transformation	CRKP15	FILES/DERIVED_FILES/Con7_P.mzML	Metabolite identification	CRKP15	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP2	Extraction	MeOH/H2O(80:20,V:V)		Con8	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con8		Data transformation	CRKP2	FILES/DERIVED_FILES/Con8_P.mzML	Metabolite identification	CRKP2	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP3	Extraction	MeOH/H2O(80:20,V:V)		Con9	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con9		Data transformation	CRKP3	FILES/DERIVED_FILES/Con9_P.mzML	Metabolite identification	CRKP3	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP4	Extraction	MeOH/H2O(80:20,V:V)		Con10	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con10		Data transformation	CRKP4	FILES/DERIVED_FILES/Con10_P.mzML	Metabolite identification	CRKP4	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
