Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Bacterial type]	Term Source REF	Term Accession Number
Con1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con1	Sepsis	EFO	http://purl.obolibrary.org/obo/HP_0100806
Con2	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con2	Sepsis		
Con3	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con3	Sepsis		
Con4	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con4	Sepsis		
Con5	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con5	Sepsis		
Con6	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con6	Sepsis		
Con7	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con7	Sepsis		
Con8	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con8	Sepsis		
Con9	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con9	Sepsis		
Con10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con10	Sepsis		
Con11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con11	Sepsis		
Con12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con12	Sepsis		
Con13	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con13	Sepsis		
Con14	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con14	Sepsis		
Con15	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	Con15	Sepsis		
KP1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP1	Sepsis		
KP2	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP2	CSKP		
KP3	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP3	CSKP		
KP4	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131				experimental blank			Sample collection	KP4	CSKP		
KP5	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP5	CSKP		
KP6	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP6	CSKP		
KP7	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP7	CSKP		
KP8	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP8	CSKP		
KP9	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP9	CSKP		
