protein_group	protein_names	genes	description	Con1	Con2	Con3	Con4	Con5	Con6	Con7	Con8	Con9	Con10	Con11	Con12	Con13	Con14	Con15	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	CRKP1	CRKP2	CRKP3	CRKP4	CRKP5	CRKP6	CRKP7	CRKP8	CRKP9	CRKP10	CRKP11	CRKP12	CRKP13	CRKP14	CRKP15	QC_pool1	QC_pool2	QC_pool3
A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	1710410.0	1488150.0	3580070.0	1872980.0	3666220.0	3021310.0	2951020.0	9470320.0	3328690.0	2329540.0	1788110.0	2932020.0	3112910.0	1943340.0	4557810.0	1928400.0	2274520.0	3084020.0	3751060.0	3052150.0	1466340.0	2748020.0	3939400.0	1958500.0	4504100.0	2663760.0	2682870.0	5592960.0	3523310.0	5094190.0	3142340.0	4701100.0	4668880.0	2418420.0	3749990.0	3928600.0	7178790.0	10283600.0	7333090.0	4728970.0	9352490.0	4838120.0	4273700.0	4599750.0	3984140.0	3485510.0	4603960.0	4559840.0
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	1320780.0	1486400.0	1281290.0	1682360.0		4366.6	1286870.0	1803550.0	1323610.0	1224810.0	205543.0	1236490.0	147224.0	176585.0	591057.0	142890.0			991520.0	122690.0		85114.1	1485490.0	43892.8	443715.0	593003.0	877369.0	469767.0	1199690.0	1614310.0	91369.2	590185.0	797498.0	1779250.0	828278.0	704125.0	2112210.0	1489450.0		747315.0	1128680.0	2576460.0	508128.0	1935020.0	1719350.0	903502.0	1246570.0	1114380.0
A0A075B6I7	LV548_HUMAN	IGLV5-48	Probable non-functional immunoglobulin lambda variable 5-48								8143.75			8880.88			6597.09		19677.5		6495.75		3004.98					8783.71	12516.9	3599.39		3706.74	5986.76		29346.0		5277.33			12576.9	35881.6	3893.6	5388.89	50806.7	20194.8	21727.9	25890.7	14262.4	17497.7	16651.4	16072.9
A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	646053.0	758831.0	537217.0	765924.0	1148620.0	1224880.0	365010.0	1576650.0	525454.0	801772.0	351580.0	603065.0		431807.0	1409490.0	671636.0	1508440.0	974556.0	320287.0	226074.0		93505.2	1287350.0	193557.0	1425320.0	536821.0	820172.0	829830.0	749188.0	1540380.0	136610.0	644295.0	1064920.0	877052.0	542072.0	493754.0	1172090.0	972282.0	1735570.0	964732.0	1265150.0	3237930.0	731125.0	3001730.0	3877000.0	1481100.0	1254290.0	1286940.0
A0A075B6J1	LV537_HUMAN	IGLV5-37	Immunoglobulin lambda variable 5-37	3631.31	3471.55	4010.45	4284.51	2762.7				5062.21	6090.83					21398.0		10708.3	6160.23					6088.45	71082.5		1519.19		5287.85	2283.45	4097.62		5458.82	4803.77	2614.11	3196.0		16377.7	6425.01			4601.3	44872.3	4491.98	50161.9	51907.9	9880.62	11018.0	11091.7
A0A075B6J6	LV322_HUMAN	IGLV3-22	Immunoglobulin lambda variable 3-22								13780.4							41826.1										74330.1	72782.5	14852.0																					
A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	232280.0	273766.0	187644.0	242010.0	380665.0	316503.0	137363.0	359173.0	210027.0	218815.0	141443.0	143822.0	353199.0	366043.0	360496.0	298663.0	333229.0	264692.0	122208.0	140622.0	123830.0	88349.8	293446.0	146465.0	719416.0	385819.0	60183.3	636957.0	126998.0	290203.0	177308.0	221168.0	447537.0	572981.0	118315.0	119146.0	533372.0	235597.0	253235.0	196379.0	196854.0	325995.0	228063.0	337521.0	468722.0	337112.0	329597.0	350232.0
A0A075B6K0	LV316_HUMAN	IGLV3-16	Immunoglobulin lambda variable 3-16																																										21627.8		21665.9	10081.4			2143.44
A0A075B6K2	LV312_HUMAN	IGLV3-12	Immunoglobulin lambda variable 3-12	13183.5	14218.3	13676.8	9368.79	5675.97		4537.07		9551.46		19575.3	4532.7	24910.4		8842.9	55695.7	8494.83	6144.66	13017.5	5371.91	14781.4		11832.0	22325.7	9616.0		17411.6	13155.1	8948.94	21159.5	13870.0	3431.95		14327.7	5826.41		50232.3	4280.56		3511.78		73494.4		60759.9	73413.4	14034.3	18797.9	13485.8
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	34895.6	35306.9	82675.3	63477.6	319264.0	109824.0	70942.5	201681.0	134748.0	161673.0	282076.0	101301.0	290777.0	202710.0	145831.0	421248.0	293592.0	148069.0	183557.0	76933.9	55801.4	217498.0	158834.0	139133.0	395956.0	112099.0	183275.0	194637.0	158547.0	330188.0	276184.0	186300.0	85963.9	155751.0	183079.0	211706.0	174315.0	339819.0	535794.0	70585.0	412151.0	410826.0	313328.0	354867.0	374292.0	224478.0	172745.0	195760.0
A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9		2863.38	37844.2		39159.9	48371.4	35024.6	48367.0	46127.1	33203.4	35003.2	38140.0	69456.5	100082.0	26908.1	36253.1	84100.4	69300.8	47975.5	12580.5	60553.3	47380.4	66162.0	28702.4	89236.4	23529.0	57004.5	71794.7	37380.6	67906.8	56091.2	40679.9	7232.64	181928.0	38212.3	41540.0	17710.3	72429.2	69857.5	19318.7	36499.0	48876.3	43205.6	66263.6	70395.9	69853.9	86887.1	74869.3
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28			49779.0	31116.6	201533.0	69108.8	38232.0	99639.9	58498.8			47432.0	57085.8	61367.1			103463.0	119190.0	68931.1	60833.4	90452.2		101835.0	59663.4	105399.0	31132.2	44523.5	89544.3	57071.5	57993.7			61302.5		37134.6	38285.7	211514.0	36369.8	48603.6	59167.1	47056.2	61820.7	45792.1	68795.3	79235.8	40532.6	65546.2	
A0A075B6Q5	HV364_HUMAN	IGHV3-64	Immunoglobulin heavy variable 3-64	1537.25	3598.77	5644.46	4234.4	5532.72	5914.15	5931.89		7173.88	7277.43	11166.5		6890.25	6912.42	10868.1		4344.26	2841.23		2496.68	50208.1	6410.62	11928.3		36571.5	5416.35	35867.3	15259.7	9354.95	23323.8	20086.9	17873.1	28166.6	4404.34	27653.2	38589.5	11129.9	10011.3	41509.2	4010.57	9496.53	34775.7	17503.1	12065.9	18147.8	11939.4	7856.12	7713.29
A0A075B6R2	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4					60083.5																																											
