comparison	protein_group	genes	mean_case	mean_control	log2_fold_change	fold_change	p_value
KP_vs_Con	P40926	MDH2	10.7571725863384	12.28859446555238	-1.531421879213974	0.3459362540233067	0.0170807238684369
KP_vs_Con	P02787	TF	21.23146511934002	22.20634076896381	-0.9748756496237904	0.508783697812047	0.0243604683237858
KP_vs_Con	P02652	APOA2	20.03318079474977	21.06785451831092	-1.034673723561149	0.4881262613665729	0.0027800489493818
KP_vs_Con	Q8TDL5	BPIFB1	16.68846819819507	17.51368112767877	-0.8252129294837012	0.5643988957921223	0.0061232127099633
KP_vs_Con	P20023	CR2	10.75208828819164	12.64042860457615	-1.888340316384518	0.2701176251250951	0.0003438810272941
KP_vs_Con	P62829	RPL23	10.45251050921914	11.66771556649658	-1.215205057277442	0.4307118563298066	0.0450839645680454
KP_vs_Con	P02775	PPBP	15.95351859416152	18.5705183985796	-2.616999804418077	0.1630063640056118	0.003528680759039
KP_vs_Con	P02776	PF4	18.88009431680834	20.87495232564219	-1.994858008833845	0.2508926289596177	0.0409843131743533
KP_vs_Con	P62857	RPS28	10.8612556529607	12.87385679898402	-2.012601146023325	0.2478258964107653	2.716229961252272e-05
KP_vs_Con	P62937	PPIA	14.81802901567024	15.57736793868364	-0.7593389230133969	0.5907669721007871	0.0441134251710456
KP_vs_Con	Q8IUK5	PLXDC1	12.70055294406158	13.31161548550121	-0.6110625414396331	0.6547143287837824	0.0390315040844917
KP_vs_Con	Q86UX7	FERMT3	14.438264218687	16.03132288973613	-1.593058671049128	0.3314679597701995	0.0140827731970015
KP_vs_Con	P04070	PROC	19.64030413143553	20.26167365882715	-0.6213695273916109	0.6500535492674774	0.0016628641363353
KP_vs_Con	P17813	ENG	11.10732070216265	12.13722694057941	-1.029906238416764	0.4897419763728632	0.0228188289252527
KP_vs_Con	P68366	TUBA4A	14.35486222937025	15.92778508438088	-1.572922855010633	0.3361267217052923	0.0211906275636475
KP_vs_Con	P17301	ITGA2	10.82956391978942	11.55101838858509	-0.7214544687956774	0.6064856986863014	0.027370742187011
KP_vs_Con	Q7L9L4	MOB1B	9.99434752181778	11.1120033183149	-1.11765579649712	0.4608420293750805	0.0208206260453565
KP_vs_Con	P04792	HSPB1	13.1961738269723	14.37634062783707	-1.180166800864768	0.4413004731165587	0.0065948015406482
KP_vs_Con	P04899	GNAI2	12.3654749304011	14.13570224778023	-1.770227317379126	0.293162541688562	0.0265169205500238
KP_vs_Con	P62241	RPS8	10.02586261301792	11.47793046466108	-1.452067851643154	0.3654971719342652	0.0077768809731026
KP_vs_Con	Q8WWA0	ITLN1	14.65336599288272	15.43317846870968	-0.7798124758269633	0.5824424952682938	0.0421359563356967
KP_vs_Con	P21333	FLNA	15.59725407152015	16.73131256082025	-1.134058489300108	0.4556321678444402	0.0486930723043957
KP_vs_Con	Q9H1B5	XYLT2	13.22022578168044	14.61207116569561	-1.391845384015175	0.3810770460462268	0.0016324895964361
KP_vs_Con	P27105	STOM	13.0002514450473	14.01943830140921	-1.019186856361911	0.493394364879137	0.0431281698477035
KP_vs_Con	O95810	CAVIN2	13.01447477771735	14.32270248128607	-1.308227703568717	0.4038166485505391	0.0399855359218748
KP_vs_Con	O95866	MPIG6B	10.60632315708444	12.43026431759971	-1.823941160515263	0.2824483228994891	0.0202809693273379
KP_vs_Con	P26583	HMGB2	10.66932988480178	12.79661602230328	-2.1272861375015	0.2288880205047024	0.0259619584733932
KP_vs_Con	P25705	ATP5F1A	12.18541007800479	13.58109100236006	-1.395680924355263	0.3800652624653065	0.0171976575861873
KP_vs_Con	P55290	CDH13	11.10361544257854	12.82534936222992	-1.721733919651381	0.30318411671801	0.0055124791642554
KP_vs_Con	P55854	SUMO3	11.16661240615574	13.17219194679524	-2.005579540639493	0.2490350065156038	0.0475193622441114
KP_vs_Con	P23528	CFL1	13.64357397788361	15.15738626664365	-1.513812288760038	0.3501846403124805	0.0066266796806128
KP_vs_Con	P01137	TGFB1	16.23069171926245	17.74597270702383	-1.515280987761383	0.3498283251435213	0.0104881443378416
