comparison	kegg_pathway	description	gene_ratio	background_ratio	rich_factor	fold_enrichment	p_value	p_adjusted	protein_groups	genes	kegg_genes	count
CRKP_vs_KP_vs_Con	hsa04512	ECM-receptor interaction	5/25	38/853	0.131578947368421	4.489473684210526	0.003708674401650615	0.1405064211085172	P24821/P78509/P98160/P10451/P04275	TNC/RELN/HSPG2/SPP1/VWF	hsa:5649;hsa:6696;hsa:3371;hsa:3339;hsa:7450	5
CRKP_vs_KP_vs_Con	hsa04620	Toll-like receptor signaling pathway	2/25	5/853	0.4	13.648	0.00781820839001127	0.1405064211085172	P10451/P08571	SPP1/CD14	hsa:6696;hsa:929	2
CRKP_vs_KP_vs_Con	hsa04610	Complement and coagulation cascades	6/25	66/853	0.09090909090909091	3.101818181818182	0.009357858430158114	0.1405064211085172	P02679/Q9Y279/Q9BXR6/P04275/P02671/P02675	FGG/VSIG4/CFHR5/VWF/FGA/FGB	hsa:11326;hsa:2243;hsa:2244;hsa:81494;hsa:2266;hsa:7450	6
CRKP_vs_KP_vs_Con	hsa04611	Platelet activation	4/25	31/853	0.1290322580645161	4.402580645161291	0.0105870268812999	0.1405064211085172	P04275/P02671/P02675/P02679	VWF/FGA/FGB/FGG	hsa:2244;hsa:2266;hsa:7450;hsa:2243	4
CRKP_vs_KP_vs_Con	hsa04064	NF-kappa B signaling pathway	2/25	6/853	0.3333333333333333	11.37333333333333	0.01151691976299321	0.1405064211085172	P19320/P08571	VCAM1/CD14	hsa:7412;hsa:929	2
CRKP_vs_KP_vs_Con	hsa05165	Human papillomavirus infection	4/25	36/853	0.1111111111111111	3.791111111111111	0.01793248195857587	0.156268771353304	P10451/P04275/P78509/P24821	SPP1/VWF/RELN/TNC	hsa:5649;hsa:6696;hsa:3371;hsa:7450	4
CRKP_vs_KP_vs_Con	hsa04613	Neutrophil extracellular trap formation	4/25	36/853	0.1111111111111111	3.791111111111111	0.01793248195857587	0.156268771353304	P04275/P02671/P02675/P02679	VWF/FGA/FGB/FGG	hsa:2244;hsa:2266;hsa:7450;hsa:2243	4
CRKP_vs_KP_vs_Con	hsa04929	GnRH secretion	1/25	1/853	1.0	34.12	0.02930832356389214	0.2234759671746776	P10451	SPP1	hsa:6696	1
CRKP_vs_KP_vs_Con	hsa05171	Coronavirus disease - COVID-19	4/25	47/853	0.0851063829787234	2.903829787234043	0.0435773214576411	0.2953574009906786	P04275/P02671/P02675/P02679	VWF/FGA/FGB/FGG	hsa:2244;hsa:2266;hsa:7450;hsa:2243	4
KP_vs_Con	hsa05012	Parkinson disease	21/131	36/853	0.5833333333333334	3.798346055979644	1.400530888148131e-09	3.249231660503665e-07	P25787/P49721/Q71U36/P25786/P20618/P07437/P25705/P04899/P28066/P60900/Q13555/P28072/P25788/P49720/O14818/P0CG47/P68366/P05141/P25789/Q9H4B7/P28070	PSMA2/PSMB2/TUBA1A/PSMA1/PSMB1/TUBB/ATP5F1A/GNAI2/PSMA5/PSMA6/CAMK2G/PSMB6/PSMA3/PSMB3/PSMA7/UBB/TUBA4A/SLC25A5/PSMA4/TUBB1/PSMB4		21
KP_vs_Con	hsa05016	Huntington disease	18/131	31/853	0.5806451612903226	3.780842157104162	2.735744901581937e-08	3.173464085835047e-06	O14818/P05141/P25787/P49721/P28066/P60900/P25786/P20618/Q71U36/P07437/P25789/Q9H4B7/P28072/P28070/P68366/P25705/P25788/P49720	PSMA7/SLC25A5/PSMA2/PSMB2/PSMA5/PSMA6/PSMA1/PSMB1/TUBA1A/TUBB/PSMA4/TUBB1/PSMB6/PSMB4/TUBA4A/ATP5F1A/PSMA3/PSMB3		18
KP_vs_Con	hsa05017	Spinocerebellar ataxia	13/131	19/853	0.6842105263157895	4.455202892728003	1.835864751618173e-07	1.419735407918054e-05	O14818/P05141/P25787/P49721/P28066/P60900/P25786/P20618/P25789/P28072/P28070/P25788/P49720	PSMA7/SLC25A5/PSMA2/PSMB2/PSMA5/PSMA6/PSMA1/PSMB1/PSMA4/PSMB6/PSMB4/PSMA3/PSMB3		13
KP_vs_Con	hsa03050	Proteasome	13/131	21/853	0.6190476190476191	4.030897855325336	1.040539062763344e-06	5.922432866123537e-05	O14818/P25787/P49721/P28066/P28065/P25786/P20618/P60900/P25789/P28072/P28070/P25788/P49720	PSMA7/PSMA2/PSMB2/PSMA5/PSMB9/PSMA1/PSMB1/PSMA6/PSMA4/PSMB6/PSMB4/PSMA3/PSMB3		13
KP_vs_Con	hsa05010	Alzheimer disease	19/131	41/853	0.4634146341463415	3.01750139638801	1.276386393561107e-06	5.922432866123537e-05	P25787/P49721/Q71U36/P25786/P20618/P07437/P25705/P28066/P60900/P28072/P25788/P49720/O14818/P68366/P05141/P25789/Q9H4B7/P05067/P28070	PSMA2/PSMB2/TUBA1A/PSMA1/PSMB1/TUBB/ATP5F1A/PSMA5/PSMA6/PSMB6/PSMA3/PSMB3/PSMA7/TUBA4A/SLC25A5/PSMA4/TUBB1/APP/PSMB4		19
