protein_group	protein_names	genes	description	molecular_weight_kda	sequence_length
P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3	35.5033	338.0
P02787	TRFE_HUMAN	TF	Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5	77.0639	698.0
P02652	APOA2_HUMAN	APOA2	Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1	11.175	100.0
Q8TDL5	BPIB1_HUMAN	BPIFB1	BPI fold-containing family B member 1 OS=Homo sapiens OX=9606 GN=BPIFB1 PE=1 SV=1	52.4415	484.0
P20023	CR2_HUMAN	CR2	Complement receptor type 2 OS=Homo sapiens OX=9606 GN=CR2 PE=1 SV=2	112.9158	1033.0
P62829	RL23_HUMAN	RPL23	Large ribosomal subunit protein uL14 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1	14.8654	140.0
P02775	CXCL7_HUMAN	PPBP	Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3	13.8942	128.0
P02776	PLF4_HUMAN	PF4	Platelet factor 4 OS=Homo sapiens OX=9606 GN=PF4 PE=1 SV=2	10.8449	101.0
P62857	RS28_HUMAN	RPS28	Small ribosomal subunit protein eS28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1	7.841	69.0
P62937	PPIA_HUMAN	PPIA	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2	18.0125	165.0
Q8IUK5	PLDX1_HUMAN	PLXDC1	Plexin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PLXDC1 PE=1 SV=2	55.7603	500.0
Q86UX7	URP2_HUMAN	FERMT3	Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1	75.9528	667.0
P04070	PROC_HUMAN	PROC	Vitamin K-dependent protein C OS=Homo sapiens OX=9606 GN=PROC PE=1 SV=1	52.0713	461.0
P17813	EGLN_HUMAN	ENG	Endoglin OS=Homo sapiens OX=9606 GN=ENG PE=1 SV=2	70.5781	658.0
P68366	TBA4A_HUMAN	TUBA4A	Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1	49.9244	448.0
P17301	ITA2_HUMAN	ITGA2	Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=2	129.2964	1181.0
Q7L9L4	MOB1B_HUMAN	MOB1B	MOB kinase activator 1B OS=Homo sapiens OX=9606 GN=MOB1B PE=1 SV=3	25.0908	216.0
P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2	22.7825	205.0
P04899	GNAI2_HUMAN	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens OX=9606 GN=GNAI2 PE=1 SV=3	40.4509	355.0
P62241	RS8_HUMAN	RPS8	Small ribosomal subunit protein eS8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2	24.2052	208.0
